node1,node2
5367,9528
5367,57448
57167,9219
57167,9112
57167,8932
57167,57459
54830,9818
54830,8473
5336,7355
5316,80714
5293,8503
5292,80153
5292,55802
5291,8503
5290,8503
5267,821
5260,5261
5257,758
5257,5261
5256,758
5256,5261
5256,5260
5256,5257
5230,5232
5223,669
5223,5224
55884,9616
55884,8065
55884,79753
56181,6182
5198,9329
51809,9427
51809,7905
5173,84129
9475,9533
55437,6794
51719,81617
51719,79837
51719,6794
51719,55437
51665,9616
51665,8065
64785,9837
64785,8318
5164,91683
51639,90324
51639,84844
51639,6637
51639,6635
51639,6629
51639,6627
51622,80320
51622,79029
51622,782
51622,6208
51622,55709
51622,55337
5162,6776
55611,7884
55611,7325
55611,7324
55611,7322
55611,55662
55658,7917
5745,79934
5160,6776
51582,51686
5158,9575
51571,81553
51569,79876
51567,9338
57715,84885
51559,9459
54955,79029
55275,9342
55275,7260
55275,682
55275,55610
51659,9837
51659,84296
51659,8318
51659,738
51659,7260
51659,64785
51659,6293
51659,55610
51659,55275
51542,7260
51542,55275
51542,51659
51537,65260
57132,9798
51531,85415
5152,9094
5151,9094
51506,79876
51506,65992
56259,6229
51497,7936
51497,7469
51495,56928
51479,55662
55740,7408
55740,57648
54915,84709
54915,6223
54915,6160
54915,6122
51441,54915
51426,79734
5565,57620
5565,5571
5564,57620
5564,5571
5563,5565
5563,5564
51422,57620
51422,5565
51422,5564
51422,5563
51422,5562
5142,5144
5141,8468
5141,5144
51384,7474
51384,64222
57465,9550
51375,8723
6183,65993
6183,64960
51360,51439
51327,9654
51322,9810
84307,84838
7593,9202
7593,83594
7593,8239
7589,9402
7589,9202
7589,80144
7579,92609
7579,80317
7579,7586
65983,9813
65983,79770
51278,55844
51278,5521
5925,7029
51256,7249
51256,7248
51237,84861
51227,5283
51510,51534
5119,51510
8289,9274
6604,9274
6604,8110
6604,6605
6603,9274
6603,8110
6603,6605
6599,9274
6599,8110
6599,6605
6599,6602
6599,6601
6598,9274
6598,8110
6598,6605
6598,6602
6598,6601
6597,9274
6597,8110
6597,6605
6597,6602
6597,6601
6595,9274
6595,8110
6595,6605
6595,6602
6595,6601
5977,9275
5977,9274
5977,86
5977,8289
5977,6605
5977,6604
5977,6603
5977,6602
5977,6601
5977,6599
5977,6598
5977,6597
5977,6595
5977,605
51185,8450
51177,832
51177,830
51177,829
51176,55170
55182,55906
51136,7905
51107,55630
51085,6945
64425,9533
64425,8631
7692,7818
57534,6259
51075,79669
51060,80213
5106,9361
5106,9202
55623,81890
55623,80324
55623,79727
55623,79691
51058,55623
51032,91369
51032,7337
51026,976
51026,57142
51024,64149
51024,53917
653440,832
653440,830
51012,51499
5097,92369
5097,6259
50937,5817
5093,55135
521,93974
521,522
513,527
513,522
513,515
50855,5590
50852,57120
5073,80776
5073,705
5073,6217
5073,6207
54888,7337
51042,51142
5899,88455
5064,5876
51181,8877
83862,9342
50840,54
5049,5050
5048,81565
5048,5050
5048,5049
5042,9329
5036,51014
5017,51684
65977,84725
65977,7534
65977,7532
5004,5005
4999,54784
49861,55662
49855,890
4978,50863
4967,92259
4967,55753
4953,51686
4931,6122
4919,50856
55711,5824
4899,79726
64395,9502
64395,91683
64395,887
64395,83648
487,6687
487,489
4867,6103
56938,9575
93323,9921
4841,6421
4841,55269
4830,654364
4830,4832
4801,4802
4800,4802
4799,9546
84128,84916
4794,5971
4794,5966
5970,5971
4792,5971
4792,5966
50619,51181
4791,84807
4791,5971
4791,5966
4791,51702
4791,50619
4791,4793
84807,9361
4790,84807
4790,5971
4790,5966
4790,51702
4790,4793
4772,5534
4772,5533
477,478
4762,6938
481,57446
481,56928
476,56928
476,481
476,478
4759,9817
4759,85379
4759,83752
4759,5830
4759,5195
4759,4854
79176,9361
79176,8454
55035,6122
55744,91445
4708,4731
4716,54539
4716,51079
4716,4731
4716,4726
4716,4718
4715,84861
4715,5631
4715,54539
4715,4731
4715,4726
4715,4725
4713,84277
4713,54539
4713,4731
4713,4726
4712,54539
4712,4731
4712,4726
4712,4725
4707,54539
4707,4731
4707,4726
4707,4718
4707,4711
4707,4709
4702,51079
4702,4731
4702,4726
4702,4718
4702,4709
4702,4704
4696,54539
4696,51079
4696,4731
4696,4726
4696,4725
4696,4718
4696,4709
4696,4701
4684,7905
4666,91408
4666,689
4664,64400
51130,9616
51130,8859
51130,8065
4659,5055
4656,6938
51150,84129
4649,5521
4633,80179
4633,4636
463,64746
4634,8826
4634,79784
4618,6938
55577,5935
55577,57620
4598,55297
4597,9114
4536,4731
4536,4709
4536,4701
4522,9094
4519,80142
4513,64689
4508,522
4488,91369
4482,84959
4478,7430
445815,5577
4430,84085
4430,60
5224,669
441502,6194
441493,9473
441282,57016
440915,60
440519,92609
439,8266
439,819
439,7917
439,7485
439,51608
4356,55327
4350,8518
4350,7874
4350,55709
4350,55250
4350,55140
4345,5000
4340,506
4323,81542
4323,7077
4286,7942
4283,63893
4281,5531
4236,84950
4211,80714
4209,55135
5467,80124
5467,55072
5467,54780
51588,55689
4172,79892
4172,4176
4172,4174
4172,4173
581,83596
581,599
581,598
581,596
4793,79444
4793,6908
4793,5970
