@id,n,r,id_type,gene_id,NCBI_id
2021,SCYL3,uniprot:Q8IZE3-2,uniprot,Q8IZE3-2,uniprot_Q8IZE3-2
2022,WDR48,uniprot:Q8TAF3,uniprot,Q8TAF3,57599
2023,MITD1,uniprot:Q8WV92,uniprot,Q8WV92,129531
2024,THADA,uniprot:Q6YHU6,uniprot,Q6YHU6,63892
2025,NUP205,uniprot:Q92621,uniprot,Q92621,23165
2026,NUP188,uniprot:Q5SRE5,uniprot,Q5SRE5,23511
2027,RBM26,uniprot:Q5T8P6,uniprot,Q5T8P6,64062
2028,USP9X,uniprot:Q93008,uniprot,Q93008,8239
2029,VARS2,uniprot:Q5ST30,uniprot,Q5ST30,57176
2030,TRNT1,uniprot:Q96Q11-2,uniprot,Q96Q11-2,uniprot_Q96Q11-2
2031,TUBB6,uniprot:Q9BUF5,uniprot,Q9BUF5,84617
2032,TUBB4A,uniprot:P04350,uniprot,P04350,10382
2033,SMYD5,uniprot:Q6GMV2,uniprot,Q6GMV2,10322
2034,HELZ2,uniprot:Q9BYK8,uniprot,Q9BYK8,85441
2035,RAE1,uniprot:P78406,uniprot,P78406,8480
2036,POLR1B,uniprot:Q9H9Y6,uniprot,Q9H9Y6,84172
2037,POLR1A,uniprot:O95602,uniprot,O95602,25885
2038,QSOX2,uniprot:Q6ZRP7,uniprot,Q6ZRP7,169714
2039,GSR,uniprot:P00390-2,uniprot,P00390-2,uniprot_P00390-2
2040,TFIP11,uniprot:Q9UBB9,uniprot,Q9UBB9,24144
2041,CD3EAP,uniprot:O15446-2,uniprot,O15446-2,uniprot_O15446-2
2042,CEMIP2,uniprot:Q9UHN6,uniprot,Q9UHN6,23670
2043,CASP4,uniprot:P49662,uniprot,P49662,837
2044,C9orf64,uniprot:Q5T6V5,uniprot,Q5T6V5,84267
2045,RAB23,uniprot:Q9ULC3,uniprot,Q9ULC3,51715
2046,PIK3C2B,uniprot:O00750,uniprot,O00750,5287
2047,PHF8,uniprot:Q9UPP1-2,uniprot,Q9UPP1-2,uniprot_Q9UPP1-2
2048,THOP1,uniprot:P52888,uniprot,P52888,7064
2049,PHF6,uniprot:Q8IWS0,uniprot,Q8IWS0,84295
2050,INCENP,uniprot:Q9NQS7-2,uniprot,Q9NQS7-2,uniprot_Q9NQS7-2
2051,AMDHD2,uniprot:Q9Y303-3,uniprot,Q9Y303-3,uniprot_Q9Y303-3
2052,TARS,uniprot:P26639,uniprot,P26639,6897
2053,CD2AP,uniprot:Q9Y5K6,uniprot,Q9Y5K6,23607
2054,PRRC2A,uniprot:P48634,uniprot,P48634,7916
2055,TJP2,uniprot:Q9UDY2,uniprot,Q9UDY2,9414
2056,SELENOK,uniprot:Q9Y6D0,uniprot,Q9Y6D0,58515
2057,PDHX,uniprot:O00330-3,uniprot,O00330-3,uniprot_O00330-3
2058,GPI,uniprot:P06744,uniprot,P06744,2821
2059,ALDOA,uniprot:P04075,uniprot,P04075,226
2060,CAPN1,uniprot:P07384,uniprot,P07384,823
2061,GDI1,uniprot:P31150,uniprot,P31150,2664
2062,PFKL,uniprot:P17858,uniprot,P17858,5211
2063,EML2,uniprot:O95834-2,uniprot,O95834-2,uniprot_O95834-2
2064,UBA1,uniprot:P22314,uniprot,P22314,7317
2065,KPNA2,uniprot:P52292,uniprot,P52292,3838
2066,CDK1,uniprot:P06493,uniprot,P06493,983
2067,ERCC5,uniprot:P28715,uniprot,P28715,2073
2068,QPRT,uniprot:Q15274,uniprot,Q15274,23475
2069,ADA,uniprot:P00813,uniprot,P00813,100
2070,UBE2S,uniprot:Q16763,uniprot,Q16763,27338
2071,RARS2,uniprot:Q5T160,uniprot,Q5T160,57038
2072,FAH,uniprot:P16930,uniprot,P16930,2184
2073,MCU,uniprot:Q8NE86,uniprot,Q8NE86,90550
2074,TOR1AIP2,uniprot:Q8NFQ8,uniprot,Q8NFQ8,163590
2075,MLH1,uniprot:P40692,uniprot,P40692,4292
2076,DUS3L,uniprot:Q96G46,uniprot,Q96G46,56931
2077,KPNA1,uniprot:P52294,uniprot,P52294,3836
2078,YIPF3,uniprot:Q9GZM5,uniprot,Q9GZM5,25844
2079,RFT1,uniprot:Q96AA3,uniprot,Q96AA3,91869
2080,CNOT10,uniprot:Q9H9A5,uniprot,Q9H9A5,25904
2081,LYRM4,uniprot:Q9HD34,uniprot,Q9HD34,57128
2082,SARS2,uniprot:Q9NP81,uniprot,Q9NP81,54938
2083,NARS2,uniprot:Q96I59,uniprot,Q96I59,79731
2084,NANS,uniprot:Q9NR45,uniprot,Q9NR45,54187
2085,TXLNG,uniprot:Q9NUQ3,uniprot,Q9NUQ3,55787
2086,SEPT9,uniprot:Q9UHD8,uniprot,Q9UHD8,10801
2087,XPO7,uniprot:Q9UIA9,uniprot,Q9UIA9,23039
2088,XPO4,uniprot:Q9C0E2,uniprot,Q9C0E2,64328
2089,SPG7,uniprot:Q9UQ90,uniprot,Q9UQ90,6687
2090,UXT,uniprot:Q9UBK9,uniprot,Q9UBK9,8409
2091,RRP15,uniprot:Q9Y3B9,uniprot,Q9Y3B9,51018
2092,CHMP3,uniprot:Q9Y3E7,uniprot,Q9Y3E7,100526767
2093,USP36,uniprot:Q9P275,uniprot,Q9P275,57602
2094,TGFBRAP1,uniprot:Q8WUH2,uniprot,Q8WUH2,9392
2095,TYMP,uniprot:P19971,uniprot,P19971,1890
2096,BPGM,uniprot:P07738,uniprot,P07738,669
2097,EMC8,uniprot:O43402,uniprot,O43402,10328
2098,NOP14,uniprot:P78316,uniprot,P78316,8602
2099,GLO1,uniprot:Q04760,uniprot,Q04760,2739
2100,TXNL4A,uniprot:P83876,uniprot,P83876,10907
2101,ARHGEF6,uniprot:Q15052,uniprot,Q15052,9459
2102,RSU1,uniprot:Q15404,uniprot,Q15404,6251
2103,FKBP15,uniprot:Q5T1M5,uniprot,Q5T1M5,23307
2104,PDE12,uniprot:Q6L8Q7,uniprot,Q6L8Q7,201626
2105,KIAA0391,uniprot:O15091,uniprot,O15091,9692
2106,TSR1,uniprot:Q2NL82,uniprot,Q2NL82,55720
2107,PYCR1,uniprot:P32322,uniprot,P32322,5831
2108,MOB3A,uniprot:Q96BX8,uniprot,Q96BX8,126308
2109,SBF1,uniprot:O95248,uniprot,O95248,6305
2110,RO60,uniprot:P10155,uniprot,P10155,6738
2111,PSMG2,uniprot:Q969U7-2,uniprot,Q969U7-2,uniprot_Q969U7-2
2112,COMMD5,uniprot:Q9GZQ3,uniprot,Q9GZQ3,28991
2113,GATAD2B,uniprot:Q8WXI9,uniprot,Q8WXI9,57459
2114,CHMP4B,uniprot:Q9H444,uniprot,Q9H444,128866
2115,MED1,uniprot:Q15648,uniprot,Q15648,5469
2116,TOMM20,uniprot:Q15388,uniprot,Q15388,9804
2117,IMP3,uniprot:Q9NV31,uniprot,Q9NV31,55272
2118,RPP25L,uniprot:Q8N5L8,uniprot,Q8N5L8,138716
2119,BABAM1,uniprot:Q9NWV8,uniprot,Q9NWV8,29086
2120,EXOSC9,uniprot:Q06265,uniprot,Q06265,5393
2121,VPS29,uniprot:Q9UBQ0,uniprot,Q9UBQ0,51699
2122,EIF2B4,uniprot:Q9UI10,uniprot,Q9UI10,8890
2123,EIF2B5,uniprot:Q13144,uniprot,Q13144,8893
2124,MSRA,uniprot:Q9UJ68-5,uniprot,Q9UJ68-5,uniprot_Q9UJ68-5
2125,DDX41,uniprot:Q9UJV9,uniprot,Q9UJV9,51428
2126,CDC16,uniprot:Q13042-3,uniprot,Q13042-3,uniprot_Q13042-3
2127,TLK1,uniprot:Q9UKI8,uniprot,Q9UKI8,9874
2128,CIZ1,uniprot:Q9ULV3-5,uniprot,Q9ULV3-5,uniprot_Q9ULV3-5
2129,TRIM24,uniprot:O15164,uniprot,O15164,8805
2130,STX8,uniprot:Q9UNK0,uniprot,Q9UNK0,9482
2131,ZC3HAV1L,uniprot:Q96H79,uniprot,Q96H79,92092
2132,PDCD10,uniprot:Q9BUL8,uniprot,Q9BUL8,11235
2133,RBM8A,uniprot:Q9Y5S9,uniprot,Q9Y5S9,9939
2134,TSFM,uniprot:P43897,uniprot,P43897,10102
2135,NF2,uniprot:P35240-8,uniprot,P35240-8,uniprot_P35240-8
2136,FXR1,uniprot:P51114,uniprot,P51114,8087
2137,ASMTL,uniprot:O95671-2,uniprot,O95671-2,uniprot_O95671-2
2138,DNAJB1,uniprot:P25685,uniprot,P25685,3337
2139,JUNB,uniprot:P17275,uniprot,P17275,3726
2140,ELOA,uniprot:Q14241,uniprot,Q14241,6924
2141,NEDD8,uniprot:Q15843,uniprot,Q15843,4738
2142,MRPL51,uniprot:Q4U2R6,uniprot,Q4U2R6,51258
2143,DDI2,uniprot:Q5TDH0,uniprot,Q5TDH0,84301
2144,RBBP9,uniprot:O75884,uniprot,O75884,10741
2145,CTNNB1,uniprot:P35222,uniprot,P35222,1499
2146,PBRM1,uniprot:Q86U86-8,uniprot,Q86U86-8,uniprot_Q86U86-8
2147,TM9SF4,uniprot:Q92544,uniprot,Q92544,9777
2148,DDX6,uniprot:P26196,uniprot,P26196,1656
2149,PRCC,uniprot:Q92733,uniprot,Q92733,5546
2150,MTHFD1,uniprot:P11586,uniprot,P11586,4522
2151,LPP,uniprot:Q93052,uniprot,Q93052,4026
2152,ATP6V0A1,uniprot:Q93050-1,uniprot,Q93050-1,uniprot_Q93050-1
2153,ARID3A,uniprot:Q99856,uniprot,Q99856,1820
2154,IRF3,uniprot:Q14653,uniprot,Q14653,3661
2155,NTPCR,uniprot:Q9BSD7,uniprot,Q9BSD7,84284
2156,APOO,uniprot:Q9BUR5,uniprot,Q9BUR5,79135
2157,NIFK,uniprot:Q9BYG3,uniprot,Q9BYG3,84365
2158,CCDC134,uniprot:Q9H6E4,uniprot,Q9H6E4,79879
2159,SYVN1,uniprot:Q86TM6-3,uniprot,Q86TM6-3,uniprot_Q86TM6-3
2160,NOP10,uniprot:Q9NPE3,uniprot,Q9NPE3,55505
2161,NIT2,uniprot:Q9NQR4,uniprot,Q9NQR4,56954
2162,CUTC,uniprot:Q9NTM9,uniprot,Q9NTM9,51076
2163,ABHD10,uniprot:Q9NUJ1,uniprot,Q9NUJ1,55347
2164,NCLN,uniprot:Q969V3-2,uniprot,Q969V3-2,uniprot_Q969V3-2
2165,SLC25A17,uniprot:O43808,uniprot,O43808,10478
2166,RTL8C,uniprot:A6ZKI3,uniprot,A6ZKI3,8933
2167,RPA1,uniprot:P27694,uniprot,P27694,6117
2168,CD38,uniprot:P28907,uniprot,P28907,952
2169,CSNK1D,uniprot:P48730-2,uniprot,P48730-2,uniprot_P48730-2
2170,NRAS,uniprot:P01111,uniprot,P01111,4893
2171,CDK9,uniprot:P50750-2,uniprot,P50750-2,uniprot_P50750-2
2172,POLR2G,uniprot:P62487,uniprot,P62487,5436
2173,WTAP,uniprot:Q15007,uniprot,Q15007,9589
2174,POLD3,uniprot:Q15054,uniprot,Q15054,10714
2175,EDF1,uniprot:O60869,uniprot,O60869,8721
2176,PPP1R7,uniprot:Q15435,uniprot,Q15435,5510
2177,NCOR1,uniprot:O75376,uniprot,O75376,9611
2178,UBAP2,uniprot:Q5T6F2,uniprot,Q5T6F2,55833
2179,STAU1,uniprot:O95793-2,uniprot,O95793-2,uniprot_O95793-2
2180,CCDC93,uniprot:Q567U6,uniprot,Q567U6,54520
2181,RABEPK,uniprot:Q7Z6M1,uniprot,Q7Z6M1,10244
2182,PIP4P1,uniprot:Q86T03,uniprot,Q86T03,90809
2183,RBM23,uniprot:Q86U06-2,uniprot,Q86U06-2,uniprot_Q86U06-2
