@id,n,r,id_type,gene_id,NCBI_id
11117,NAPEPLD,uniprot:Q6IQ20,uniprot,Q6IQ20,222236
11118,GPR119,uniprot:Q8TDV5,uniprot,Q8TDV5,139760
11119,ABHD12,uniprot:Q8N2K0,uniprot,Q8N2K0,26090
11120,CLK3,uniprot:P49761,uniprot,P49761,1198
11121,SEC23B,uniprot:Q15437,uniprot,Q15437,10483
11122,DENND2C,uniprot:Q68D51,uniprot,Q68D51,163259
11123,DENND2A,uniprot:Q9ULE3,uniprot,Q9ULE3,27147
11124,DENND2D,uniprot:Q9H6A0,uniprot,Q9H6A0,79961
11125,HPDL,uniprot:Q96IR7,uniprot,Q96IR7,84842
11126,TOR1AIP1,uniprot:Q5JTV8,uniprot,Q5JTV8,26092
11127,SBNO1,uniprot:A3KN83,uniprot,A3KN83,55206
11128,FAM175A,uniprot:Q6UWZ7,uniprot,Q6UWZ7,84142
11129,UIMC1,uniprot:Q96RL1,uniprot,Q96RL1,51720
11130,GPR161,uniprot:Q8N6U8,uniprot,Q8N6U8,23432
11131,TULP3,uniprot:O75386,uniprot,O75386,7289
11132,ensembl:ENSP00000382026,uniprot:Q8WVX3,uniprot,Q8WVX3,401152
11133,HAS2,uniprot:Q92819,uniprot,Q92819,3037
11134,SLC36A1,uniprot:Q7Z2H8,uniprot,Q7Z2H8,206358
11135,ZBTB46,uniprot:Q86UZ6,uniprot,Q86UZ6,140685
11136,CLEC9A,uniprot:Q6UXN8,uniprot,Q6UXN8,283420
11137,ATF7,uniprot:P17544,uniprot,P17544,11016
11138,CASQ2,uniprot:O14958,uniprot,O14958,845
11139,GDPD3,uniprot:Q7L5L3,uniprot,Q7L5L3,79153
11140,FADS2,uniprot:O95864,uniprot,O95864,9415
11141,RBM3,uniprot:P98179,uniprot,P98179,5935
11142,RBM42,uniprot:Q9BTD8,uniprot,Q9BTD8,79171
11143,MBNL2,uniprot:Q5VZF2,uniprot,Q5VZF2,10150
11144,TMEM107,uniprot:Q6UX40,uniprot,Q6UX40,84314
11145,TMEM231,uniprot:Q9H6L2,uniprot,Q9H6L2,79583
11146,TMEM17,uniprot:Q86X19,uniprot,Q86X19,200728
11147,C4BPB,uniprot:P20851,uniprot,P20851,725
11148,CFI,uniprot:P05156,uniprot,P05156,3426
11149,ANKRD27,uniprot:Q96NW4,uniprot,Q96NW4,84079
11150,GPR139,uniprot:Q6DWJ6,uniprot,Q6DWJ6,124274
11151,ZNF597,uniprot:Q96LX8,uniprot,Q96LX8,146434
11152,B4GALNT1,uniprot:Q00973,uniprot,Q00973,2583
11153,MRAP,uniprot:Q8TCY5,uniprot,Q8TCY5,56246
11154,TP53TG5,uniprot:Q9Y2B4,uniprot,Q9Y2B4,27296
11155,ITPKC,uniprot:Q96DU7,uniprot,Q96DU7,80271
11156,IPMK,uniprot:Q8NFU5,uniprot,Q8NFU5,253430
11157,TESPA1,uniprot:A2RU30,uniprot,A2RU30,9840
11158,TRPC3,uniprot:Q13507,uniprot,Q13507,7222
11159,SH2D1B,uniprot:O14796,uniprot,O14796,117157
11160,TRPC5,uniprot:Q9UL62,uniprot,Q9UL62,7224
11161,NPEPL1,uniprot:Q8NDH3,uniprot,Q8NDH3,79716
11162,TRPC7,uniprot:Q9HCX4,uniprot,Q9HCX4,57113
11163,MYEOV2,hgnc:MYEOV2,hgnc,MYEOV2,150678
11164,ITPKB,uniprot:P27987,uniprot,P27987,3707
11165,TRA2A,uniprot:Q13595,uniprot,Q13595,29896
11166,RABEP1,uniprot:Q15276,uniprot,Q15276,9135
11167,EEA1,uniprot:Q15075,uniprot,Q15075,8411
11168,RABGAP1L,uniprot:Q5R372,uniprot,Q5R372,9910
11169,REP15,uniprot:Q6BDI9,uniprot,Q6BDI9,387849
11170,RABGEF1,uniprot:E9PFK9,uniprot,E9PFK9,27342
11171,PTGES,uniprot:O14684,uniprot,O14684,9536
11172,TBXAS1,uniprot:P24557,uniprot,P24557,6916
11173,HMG20A,uniprot:Q9NP66,uniprot,Q9NP66,10363
11174,RCOR3,uniprot:Q9P2K3,uniprot,Q9P2K3,55758
11175,GSE1,uniprot:Q14687,uniprot,Q14687,23199
11176,KIAA0226L,uniprot:Q9H714,uniprot,Q9H714,80183
11177,FAM26D,uniprot:Q5JW98,uniprot,Q5JW98,221301
11178,SUOX,uniprot:P51687,uniprot,P51687,6821
11179,ELP2,uniprot:Q6IA86,uniprot,Q6IA86,55250
11180,KTI12,uniprot:Q96EK9,uniprot,Q96EK9,112970
11181,MOCS2,uniprot:O96007,uniprot,O96007,4338
11182,ACOT11,uniprot:Q8WXI4,uniprot,Q8WXI4,26027
11183,MAGEA10,uniprot:P43363,uniprot,P43363,4109
11184,CTAG1B,hgnc:CTAG1B,hgnc,CTAG1B,1485
11185,CTAG1A,uniprot:P78358,uniprot,P78358,246100
11186,PEPD,uniprot:P12955,uniprot,P12955,5184
11187,STK16,uniprot:O75716,uniprot,O75716,8576
11188,MMACHC,uniprot:Q9Y4U1,uniprot,Q9Y4U1,25974
11189,MMADHC,uniprot:Q9H3L0,uniprot,Q9H3L0,27249
11190,MMAA,uniprot:Q8IVH4,uniprot,Q8IVH4,166785
11191,PAIP2B,uniprot:Q9ULR5,uniprot,Q9ULR5,400961
11192,PSD2,uniprot:Q9BQI7,uniprot,Q9BQI7,84249
11193,NOL7,uniprot:Q9UMY1,uniprot,Q9UMY1,51406
11194,IL17C,uniprot:Q9P0M4,uniprot,Q9P0M4,27189
11195,IL17RE,uniprot:Q8NFR9,uniprot,Q8NFR9,132014
11196,IL17RC,uniprot:Q8NAC3,uniprot,Q8NAC3,84818
11197,FABP12,uniprot:A6NFH5,uniprot,A6NFH5,646486
11198,FABP9,uniprot:Q0Z7S8,uniprot,Q0Z7S8,646480
11199,PLIN5,uniprot:Q00G26,uniprot,Q00G26,440503
11200,ACSF2,uniprot:Q96CM8,uniprot,Q96CM8,80221
11201,FABP6,uniprot:P51161,uniprot,P51161,2172
11202,AGR2,uniprot:O95994,uniprot,O95994,10551
11203,AGR3,uniprot:Q8TD06,uniprot,Q8TD06,155465
11204,PHLDB3,uniprot:Q6NSJ2,uniprot,Q6NSJ2,653583
11205,RNF39,uniprot:Q9H2S5,uniprot,Q9H2S5,80352
11206,TCF19,uniprot:Q9Y242,uniprot,Q9Y242,6941
11207,ZNF57,uniprot:Q68EA5,uniprot,Q68EA5,126295
11208,BTN1A1,uniprot:Q13410,uniprot,Q13410,696
11209,BTN3A3,uniprot:O00478,uniprot,O00478,10384
11210,BTN3A2,uniprot:P78410,uniprot,P78410,11118
11211,BTN3A1,uniprot:O00481,uniprot,O00481,11119
11212,SLC16A9,uniprot:Q7RTY1,uniprot,Q7RTY1,220963
11213,LRRC16A,uniprot:Q5VZK9,uniprot,Q5VZK9,55604
11214,SLC22A6,uniprot:Q4U2R8,uniprot,Q4U2R8,9356
11215,SLC34A2,uniprot:O95436,uniprot,O95436,10568
11216,SLC18B1,uniprot:Q6NT16,uniprot,Q6NT16,116843
11217,SETD8,uniprot:Q9NQR1,uniprot,Q9NQR1,387893
11218,HIST1H2BE,uniprot:P62807,uniprot,P62807,3017
11219,H2AFY2,uniprot:Q9P0M6,uniprot,Q9P0M6,55506
11220,H2AFY,uniprot:O75367,uniprot,O75367,9555
11221,HIST1H2BI,hgnc:HIST1H2BI,hgnc,HIST1H2BI,3017
11222,SUV420H2,uniprot:Q86Y97,uniprot,Q86Y97,84787
11223,SPTY2D1,uniprot:Q68D10,uniprot,Q68D10,144108
11224,HIST1H2BG,hgnc:HIST1H2BG,hgnc,HIST1H2BG,3017
11225,L3MBTL1,uniprot:Q9Y468,uniprot,Q9Y468,26013
11226,SUV420H1,uniprot:Q4FZB7,uniprot,Q4FZB7,51111
11227,HIST1H2BF,hgnc:HIST1H2BF,hgnc,HIST1H2BF,3017
11228,HIST1H2BC,hgnc:HIST1H2BC,hgnc,HIST1H2BC,3017
11229,HINFP,uniprot:Q9BQA5,uniprot,Q9BQA5,25988
11230,DARS2,uniprot:Q6PI48,uniprot,Q6PI48,55157
11231,TREM1,uniprot:Q9NP99,uniprot,Q9NP99,54210
11232,TREML2,uniprot:Q5T2D2,uniprot,Q5T2D2,79865
11233,TREML1,uniprot:Q86YW5,uniprot,Q86YW5,340205
11234,KLHL1,uniprot:Q9NR64,uniprot,Q9NR64,57626
11235,KLHDC3,uniprot:Q9BQ90,uniprot,Q9BQ90,116138
11236,DPY30,uniprot:Q9C005,uniprot,Q9C005,84661
11237,NUDCD3,uniprot:Q8IVD9,uniprot,Q8IVD9,23386
11238,SOX4,uniprot:Q06945,uniprot,Q06945,6659
11239,ATAD3B,uniprot:Q5T9A4,uniprot,Q5T9A4,83858
11240,TMX1,uniprot:Q9H3N1,uniprot,Q9H3N1,81542
11241,ATAD3A,uniprot:Q9NVI7,uniprot,Q9NVI7,55210
11242,CIC,uniprot:Q96RK0,uniprot,Q96RK0,23152
11243,BBX,uniprot:Q8WY36,uniprot,Q8WY36,56987
11244,SCGB2A1,uniprot:O75556,uniprot,O75556,4246
11245,SH3TC1,uniprot:Q8TE82,uniprot,Q8TE82,54436
11246,AFAP1,uniprot:Q8N556,uniprot,Q8N556,60312
11247,KATNAL2,uniprot:Q8IYT4,uniprot,Q8IYT4,83473
11248,KATNB1,uniprot:Q9BVA0,uniprot,Q9BVA0,10300
11249,SCN2A,uniprot:Q99250,uniprot,Q99250,6326
11250,MT1E,uniprot:P04732,uniprot,P04732,4493
11251,SLC39A10,uniprot:Q9ULF5,uniprot,Q9ULF5,57181
11252,MT1X,uniprot:P80297,uniprot,P80297,4501
11253,MT1G,uniprot:P13640,uniprot,P13640,4495
11254,MT1H,uniprot:P80294,uniprot,P80294,4496
11255,CCBL2,uniprot:Q6YP21,uniprot,Q6YP21,56267
11256,TYR,uniprot:P14679,uniprot,P14679,7299
11257,SPNS2,uniprot:Q8IVW8,uniprot,Q8IVW8,124976
11258,PIWIL1,uniprot:Q96J94,uniprot,Q96J94,9271
11259,TDRD5,uniprot:Q8NAT2,uniprot,Q8NAT2,163589
11260,MOV10L1,uniprot:Q9BXT6,uniprot,Q9BXT6,54456
11261,TDRD6,uniprot:O60522,uniprot,O60522,221400
11262,DDX25,uniprot:Q9UHL0,uniprot,Q9UHL0,29118
11263,TDRD9,uniprot:Q8NDG6,uniprot,Q8NDG6,122402
11264,MAEL,uniprot:Q96JY0,uniprot,Q96JY0,84944
11265,TDRKH,uniprot:Q9Y2W6,uniprot,Q9Y2W6,11022
11266,PLD6,uniprot:Q8N2A8,uniprot,Q8N2A8,201164
11267,DDX4,uniprot:Q9NQI0,uniprot,Q9NQI0,54514
11268,TDRD1,uniprot:Q9BXT4,uniprot,Q9BXT4,56165
11269,ASZ1,uniprot:Q8WWH4,uniprot,Q8WWH4,136991
11270,EXD1,uniprot:Q8NHP7,uniprot,Q8NHP7,161829
11271,NANOS3,uniprot:P60323,uniprot,P60323,342977
11272,PIWIL4,uniprot:Q7Z3Z4,uniprot,Q7Z3Z4,143689
11273,RNF17,uniprot:Q9BXT8,uniprot,Q9BXT8,56163
11274,RAPGEF6,uniprot:Q8TEU7,uniprot,Q8TEU7,51735
11275,RAP1GAP,uniprot:P47736,uniprot,P47736,5909
11276,RAPGEF2,uniprot:Q9Y4G8,uniprot,Q9Y4G8,9693
11277,SGSM2,uniprot:O43147,uniprot,O43147,9905
11278,RASSF5,uniprot:Q8WWW0,uniprot,Q8WWW0,83593
11279,SLC10A2,uniprot:Q12908,uniprot,Q12908,6555
11280,SLC51A,uniprot:Q86UW1,uniprot,Q86UW1,200931
11281,SLC51B,uniprot:Q86UW2,uniprot,Q86UW2,123264
11282,SLC22A5,uniprot:O76082,uniprot,O76082,6584
11283,SOSTDC1,uniprot:Q6X4U4,uniprot,Q6X4U4,25928
11284,FOXF1,uniprot:Q12946,uniprot,Q12946,2294
11285,BARX1,uniprot:Q9HBU1,uniprot,Q9HBU1,56033
11286,PAX9,uniprot:P55771,uniprot,P55771,5083
11287,FOXC1,uniprot:Q12948,uniprot,Q12948,2296
11288,GREM2,uniprot:Q9H772,uniprot,Q9H772,64388
11289,JAG2,uniprot:Q9Y219,uniprot,Q9Y219,3714
11290,SCX,uniprot:Q7RTU7,uniprot,Q7RTU7,642658
11291,ABCC12,uniprot:Q96J65,uniprot,Q96J65,94160
11292,ABCC4,uniprot:O15439,uniprot,O15439,10257
11293,ARMC7,uniprot:Q9H6L4,uniprot,Q9H6L4,79637
11294,NIN,uniprot:Q8N4C6,uniprot,Q8N4C6,51199
11295,CNTLN,uniprot:Q9NXG0,uniprot,Q9NXG0,54875
11296,SPATC1,uniprot:Q76KD6,uniprot,Q76KD6,375686
11297,GPAT2,uniprot:Q6NUI2,uniprot,Q6NUI2,150763
11298,AGPAT9,uniprot:Q53EU6,uniprot,Q53EU6,84803
11299,TMC4,uniprot:Q7Z404,uniprot,Q7Z404,147798
11300,AGPAT3,uniprot:Q9NRZ7,uniprot,Q9NRZ7,56894
11301,LCLAT1,uniprot:Q6UWP7,uniprot,Q6UWP7,253558
11302,AGPAT4,uniprot:Q9NRZ5,uniprot,Q9NRZ5,56895
11303,LILRB3,uniprot:O75022,uniprot,O75022,107987462
11304,INSIG2,uniprot:Q9Y5U4,uniprot,Q9Y5U4,51141
11305,GPR85,uniprot:P60893,uniprot,P60893,54329
11306,PSD4,uniprot:Q8NDX1,uniprot,Q8NDX1,23550
11307,AP3M1,uniprot:Q9Y2T2,uniprot,Q9Y2T2,26985
11308,TMEM150A,uniprot:Q86TG1,uniprot,Q86TG1,129303
11309,ARL14,uniprot:Q8N4G2,uniprot,Q8N4G2,80117
11310,C2orf68,uniprot:Q2NKX9,uniprot,Q2NKX9,388969
11311,DOK6,uniprot:Q6PKX4,uniprot,Q6PKX4,220164
11312,DOK5,uniprot:Q9P104,uniprot,Q9P104,55816
11313,DOK4,uniprot:Q8TEW6,uniprot,Q8TEW6,55715
11314,YME1L1,uniprot:Q96TA2,uniprot,Q96TA2,10730
11315,HTRA1,uniprot:Q92743,uniprot,Q92743,5654
11316,TBX22,uniprot:Q9Y458,uniprot,Q9Y458,50945
11317,SPX,uniprot:Q9BT56,uniprot,Q9BT56,80763
11318,SAC3D1,uniprot:A6NKF1,uniprot,A6NKF1,uniprot_A6NKF1
11319,ZMYM3,uniprot:Q14202,uniprot,Q14202,9203
11320,XPO4,uniprot:Q9C0E2,uniprot,Q9C0E2,64328
11321,KIAA1429,uniprot:Q69YN4,uniprot,Q69YN4,25962
11322,CFHR5,uniprot:Q9BXR6,uniprot,Q9BXR6,81494
11323,C1R,uniprot:P00736,uniprot,P00736,715
11324,ensembl:ENSP00000410815,uniprot:B4E1Z4,uniprot,B4E1Z4,uniprot_B4E1Z4
11325,CFHR4,uniprot:Q92496,uniprot,Q92496,10877
11326,FHR2,hgnc:FHR2,hgnc,FHR2,3080
11327,CR1,uniprot:P17927,uniprot,P17927,1378
11328,GZMM,uniprot:P51124,uniprot,P51124,3004
11329,SCIN,uniprot:Q9Y6U3,uniprot,Q9Y6U3,85477
11330,CFHR1,uniprot:Q03591,uniprot,Q03591,3078
11331,MASP1,uniprot:F8W876,uniprot,F8W876,5648
11332,C1S,uniprot:P09871,uniprot,P09871,716
11333,CFHR3,uniprot:Q02985,uniprot,Q02985,10878
11334,CD81,uniprot:P60033,uniprot,P60033,975
11335,VSIG4,uniprot:Q9Y279,uniprot,Q9Y279,11326
11336,CFH,uniprot:P08603,uniprot,P08603,3075
11337,C6orf48,uniprot:Q9UBA6,uniprot,Q9UBA6,uniprot_Q9UBA6
11338,PRSS57,uniprot:Q6UWY2,uniprot,Q6UWY2,400668
11339,SPECC1,uniprot:Q5M775,uniprot,Q5M775,92521
11340,NR4A2,uniprot:P43354,uniprot,P43354,4929
11341,RTN2,uniprot:O75298,uniprot,O75298,6253
11342,ATL1,uniprot:Q8WXF7,uniprot,Q8WXF7,51062
11343,RAPH1,uniprot:Q70E73,uniprot,Q70E73,65059
11344,SUB1,uniprot:P53999,uniprot,P53999,10923
11345,CFAP61,uniprot:Q8NHU2,uniprot,Q8NHU2,26074
11346,SLC24A3,uniprot:Q9HC58,uniprot,Q9HC58,57419
11347,WDR66,uniprot:Q8TBY9,uniprot,Q8TBY9,144406
11348,MAATS1,uniprot:Q7Z4T9,uniprot,Q7Z4T9,89876
11349,SPATA25,uniprot:Q9BR10,uniprot,Q9BR10,128497
11350,WEE2,uniprot:P0C1S8,uniprot,P0C1S8,494551
11351,C1QA,uniprot:P02745,uniprot,P02745,712
11352,TMX4,uniprot:Q9H1E5,uniprot,Q9H1E5,56255
11353,CCT8L2,uniprot:Q96SF2,uniprot,Q96SF2,150160
11354,CCDC28B,uniprot:Q9BUN5,uniprot,Q9BUN5,79140
11355,SSH1,uniprot:Q8WYL5,uniprot,Q8WYL5,54434
11356,RBM24,uniprot:Q9BX46,uniprot,Q9BX46,221662
11357,LIMK2,uniprot:P53671,uniprot,P53671,3985
11358,WDR1,uniprot:O75083,uniprot,O75083,9948
11359,TCF15,uniprot:Q12870,uniprot,Q12870,6939
11360,DEFB129,uniprot:Q9H1M3,uniprot,Q9H1M3,140881
11361,DEFB134,uniprot:Q4QY38,uniprot,Q4QY38,613211
11362,DEFB136,uniprot:Q30KP8,uniprot,Q30KP8,613210
11363,DEFB114,uniprot:Q30KQ6,uniprot,Q30KQ6,245928
11364,DEFB126,uniprot:Q9BYW3,uniprot,Q9BYW3,81623
11365,DEFB110,uniprot:Q30KQ9,uniprot,Q30KQ9,245913
11366,DEFB1,uniprot:P60022,uniprot,P60022,1672
11367,DEFB121,uniprot:Q5J5C9,uniprot,Q5J5C9,245934
11368,DEFB123,uniprot:Q8N688,uniprot,Q8N688,245936
11369,DEFB112,uniprot:Q30KQ8,uniprot,Q30KQ8,uniprot_Q30KQ8
