@id,n,NCBI_id
292,KLHL9,55958
293,FBXL8,55336
294,SOCS1,8651
295,SOCS3,9021
296,FBXL3,26224
297,FZR1,51343
298,FBXL5,26234
299,FBXL4,26235
300,FBXL7,23194
301,SUPT4H1,6827
302,TMEM189-UBE2V1,387522
303,UBB,7314
304,UBC,7316
305,RNF6,6049
306,RNF7,9616
307,RNF4,6047
308,TRIM39,56658
309,TRIM32,22954
310,TRIM37,4591
311,TRIM36,55521
312,UBE2L6,9246
313,UBE2L3,7332
314,KBTBD7,84078
315,KBTBD6,89890
316,UBE3B,89910
317,UBE3C,9690
318,UBE3A,7337
319,CCNF,899
320,UBE3D,90025
321,KBTBD8,84541
322,NGRN,51335
323,HTR2C,3358
324,PCBP1,5093
325,RNF220,55182
326,ECPAS,23392
327,ARPC5,10092
328,TRIM41,90933
329,TAF7,6879
330,SLC25A44,9673
331,CDC27,996
332,CDC26,246184
333,CDC23,8697
334,CDC20,991
335,KLHL42,57542
336,KLHL41,10324
337,HECW2,57520
338,RNF126,55658
339,BTBD6,90135
340,RNF123,63891
341,DTX3L,151636
342,COP1,64326
343,NEDD4,4734
344,PFDN2,5202
345,SIAH1,6477
346,SIAH2,6478
347,TCEAL1,9338
348,RNF144B,255488
349,PSMB4,5692
350,KCTD6,200845
351,HAX1,10456
352,VHL,7428
353,UBOX5,22888
354,LTN1,26046
355,UBE2G2,7327
356,UBE2G1,7326
357,PJA1,64219
358,UFL1,23376
359,RFXANK,8625
360,RRAGA,10670
361,TRAF7,84231
362,USP11,8237
363,C1QTNF2,114898
364,NEDD4L,23327
365,SCFD1,23256
366,RNF11,26994
367,UBL3,5412
368,HSPA4,3308
369,SUMO1,7341
370,HSPA9,3313
371,SEC23IP,11196
372,ANKIB1,54467
373,COMMD8,54951
374,C6orf120,387263
375,CDC73,79577
376,PIK3CA,5290
377,RMND5A,64795
378,PRKAG1,5571
379,FAM114A2,10827
380,ABCD3,5825
381,HBS1L,10767
382,RAB9A,9367
383,WRB,7485
384,NIPSNAP2,2631
385,SP3,6670
386,AP5M1,55745
387,TMEM9B,56674
388,DHX29,54505
389,TMEM184C,55751
390,GPI,2821
391,SNAP23,8773
392,PTER,9317
393,ARHGAP12,94134
394,TCF12,6938
395,CTCF,10664
396,ATP6V1D,51382
397,RPS6KC1,26750
398,ATP6V1A,523
399,ALDH3A2,224
400,PUM2,23369
401,ISCA1,81689
402,SPTSSA,171546
403,ARNTL,406
404,RWDD2A,112611
405,BUB3,9184
406,XPO7,23039
407,RWDD2B,10069
408,APOO,79135
409,CETN3,1070
410,CTNNB1,1499
411,JAK2,3717
412,TMED10,10972
413,KIF1BP,26128
414,TSPYL1,7259
415,ZNF226,7769
416,CHUK,1147
417,INSIG2,51141
418,CSGALNACT2,55454
419,SLC39A6,25800
420,PREPL,9581
421,RPS6KA3,6197
422,CSNK1A1,1452
423,C5orf15,56951
424,GFM2,84340
425,ATAD1,84896
426,SLC35B3,51000
427,TTC37,9652
428,MINDY3,80013
429,MINDY2,54629
430,EMC2,9694
431,MINPP1,9562
432,FBXO38,81545
433,ECHDC1,55862
434,SOAT1,6646
435,SMAD4,4089
436,RAP1B,5908
437,RAP1A,5906
438,AP1AR,55435
439,DCTN4,51164
440,LRIF1,55791
441,NCOA4,8031
442,CCNDBP1,23582
443,CRYZL1,9946
444,ALAS1,211
445,CRBN,51185
446,TM9SF3,56889
447,TM9SF2,9375
448,TOGARAM1,23116
449,AUH,549
450,TMEM59,9528
451,CIAO2A,84191
452,TCEA1P2,399511
453,PRKAR1A,5573
454,SAR1B,51128
455,SCAF8,22828
456,CAPZA2,830
457,PEX7,5191
458,PRRC1,133619
459,SUCLA2,8803
460,ATP6V1E1,529
461,TBCA,6902
462,MORC3,23515
463,ACTR10,55860
464,CPEB4,80315
465,TMEM251,26175
466,CAT,847
467,EI24,9538
468,RAB2A,5862
469,C10orf88,80007
470,EPS8,2059
471,EPS15,2060
472,TOB1,10140
473,PRMT2,3275
474,CLIP1,6249
475,HNF1A,6927
476,ETNK1,55500
477,ATP6V1B2,526
478,CDC37L1,55664
479,ARIH1,25820
480,CD46,4179
481,HIKESHI,51501
482,FPGT,8790
483,LPIN2,9663
484,CGRRF1,10668
485,RAB21,23011
486,LACTB2,51110
487,DMXL1,1657
488,NCK1,4690
489,EXOC5,10640
490,MBD4,8930
491,PPP3CB,5532
492,SPG11,80208
493,BZW1,9689
494,MPC2,25874
495,MARCH5,54708
496,MARCH7,64844
497,RCBTB1,55213
498,SLC25A12,8604
499,ADSS,159
500,B3GNT2,10678
501,NFE2L2,4780
502,DYNLT3,6990
503,TTC5,91875
504,RARS,5917
505,GMCL1,64395
506,ZNF263,10127
507,MTMR6,9107
508,TSNAX,7257
509,UTP14C,9724
510,SEC24A,10802
511,TERF2IP,54386
512,SIGLEC10,89790
513,SIGLEC11,114132
514,SH3BGRL,6451
515,HTATIP2,10553
516,SYPL1,6856
517,OSBPL11,114885
518,SCARB2,950
519,MRPL42,28977
520,RNF103,7844
521,APC,324
522,UQCRFS1,7386
523,YIPF5,81555
524,YIPF6,286451
525,SNX2,6643
526,SNX1,6642
527,ARFIP1,27236
528,COPS2,9318
529,SERINC1,57515
